game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
2604330,IT1,2015,36. Matchday,2016-05-01,398,46,2,0,8.0,4.0,Simone Inzaghi,Roberto Mancini,Olimpico di Roma,20000.0,Luca Banti,https://www.transfermarkt.co.uk/ss-lazio_inter-milan/index/spielbericht/2604330,4-3-3 Attacking,4-2-3-1,Società Sportiva Lazio S.p.A.,Football Club Internazionale Milano S.p.A.,2:0,domestic_league
2604343,IT1,2015,37. Matchday,2016-05-08,800,410,1,1,13.0,16.0,Edoardo Reja,Luigi De Canio,Gewiss Stadium,19380.0,Nicola Rizzoli,https://www.transfermarkt.co.uk/atalanta-bc_udinese-calcio/index/spielbericht/2604343,4-2-3-1,3-5-2 flat,Atalanta Bergamasca Calcio S.p.a.,Udinese Calcio,1:1,domestic_league
2726628,IT1,2016,16. Matchday,2016-12-11,46,252,2,0,9.0,10.0,Stefano Pioli,Ivan Juric,Giuseppe Meazza,33788.0,Paolo Valeri,https://www.transfermarkt.co.uk/inter-milan_genoa-cfc/index/spielbericht/2726628,3-4-2-1,3-4-2-1,Football Club Internazionale Milano S.p.A.,Genoa Cricket and Football Club,2:0,domestic_league
2726676,IT1,2016,21. Matchday,2017-01-22,458,46,0,1,19.0,6.0,Eugenio Corini,Stefano Pioli,"Comunale Renzo Barbera ""La Favorita""",16436.0,Massimiliano Irrati,https://www.transfermarkt.co.uk/us-palermo_inter-milan/index/spielbericht/2726676,3-5-2 flat,4-2-3-1,Palermo FC,Football Club Internazionale Milano S.p.A.,0:1,domestic_league
2726710,IT1,2016,24. Matchday,2017-02-12,416,2921,5,3,9.0,20.0,Siniša Mihajlović,Massimo Oddo,Olimpico Grande Torino,14827.0,Fabio Maresca,https://www.transfermarkt.co.uk/torino-fc_delfino-pescara-1936/index/spielbericht/2726710,4-3-3 Attacking,4-3-2-1,Torino Calcio,Delfino Pescara 1936,5:3,domestic_league
2897204,IT1,2017,5. Matchday,2017-09-20,506,430,1,0,2.0,10.0,Massimiliano Allegri,Stefano Pioli,Allianz Stadium,35652.0,Daniele Doveri,https://www.transfermarkt.co.uk/juventus-fc_acf-fiorentina/index/spielbericht/2897204,4-2-3-1,4-2-3-1,Juventus Football Club,Associazione Calcio Fiorentina,1:0,domestic_league
2897259,IT1,2017,11. Matchday,2017-10-29,4083,430,2,1,15.0,8.0,Davide Nicola,Stefano Pioli,Ezio Scida,8906.0,Fabio Maresca,https://www.transfermarkt.co.uk/fc-crotone_acf-fiorentina/index/spielbericht/2897259,4-4-2 double 6,4-3-3 Attacking,FC Crotone,Associazione Calcio Fiorentina,2:1,domestic_league
2897305,IT1,2017,21. Matchday,2018-01-21,46,12,1,1,4.0,5.0,Luciano Spalletti,Eusebio Di Francesco,Giuseppe Meazza,57066.0,Davide Massa,https://www.transfermarkt.co.uk/inter-milan_as-roma/index/spielbericht/2897305,4-1-4-1,4-1-4-1,Football Club Internazionale Milano S.p.A.,Associazione Sportiva Roma,1:1,domestic_league
2726567,IT1,2016,10. Matchday,2016-10-26,506,1038,4,1,1.0,16.0,Massimiliano Allegri,Marco Giampaolo,Allianz Stadium,38417.0,Carmine Russo,https://www.transfermarkt.co.uk/juventus-fc_uc-sampdoria/index/spielbericht/2726567,3-5-2,4-3-1-2,Juventus Football Club,UC Sampdoria,4:1,domestic_league
2726585,IT1,2016,12. Matchday,2016-11-06,252,410,1,1,8.0,13.0,Ivan Juric,Luigi Delneri,Luigi Ferraris,19015.0,Gianluca Manganiello,https://www.transfermarkt.co.uk/genoa-cfc_udinese-calcio/index/spielbericht/2726585,3-4-3,4-3-3 Attacking,Genoa Cricket and Football Club,Udinese Calcio,1:1,domestic_league
